sector,price,price_per_sqft,built_up_area,latitude,longitude,n_properties
gwal pahari,3.19,9585.78,3056.17,28.45,77.02,18
manesar,0.96,4608.06,2027.37,28.35,76.94,31
sector 1,1.86,8249.83,2327.83,28.37,76.95,6
sector 10,2.09,11866.57,1908.86,28.45,77.0,7
sector 102,1.7,10603.82,1556.13,28.48,76.97,107
sector 103,1.5,7445.79,1865.43,28.49,76.98,42
sector 104,1.62,8873.9,1835.51,28.48,77.0,67
sector 105,1.2,10168.95,1118.13,28.5,77.01,20
sector 106,1.55,8591.0,1506.05,28.5,77.0,38
sector 107,0.78,6643.92,1102.8,28.51,76.97,59
sector 108,2.0,10030.67,1908.67,28.51,76.98,58
sector 109,3.99,12634.77,2931.44,28.51,77.01,86
sector 11,1.45,9226.56,1394.19,28.45,77.02,16
sector 110,2.51,8881.87,2201.91,28.51,77.02,23
sector 111,2.9,11692.55,2346.64,28.52,77.03,22
sector 112,4.51,12366.83,3315.04,28.52,77.02,23
sector 113,2.47,12516.14,2057.86,28.53,77.02,43
sector 12,1.64,9942.38,1788.06,28.47,77.03,32
sector 13,2.44,9015.67,2022.67,28.48,77.04,9
sector 14,4.59,17150.78,2714.33,28.47,77.05,18
sector 15,2.72,11916.33,1854.83,28.46,77.05,6
sector 17,4.69,17705.4,2488.7,28.48,77.06,10
sector 2,2.44,11355.98,1818.64,28.51,77.03,61
sector 21,1.03,7641.5,1252.33,28.51,77.07,6
sector 22,3.43,16245.1,2072.8,28.51,77.06,20
sector 23,3.34,13456.23,2385.69,28.51,77.05,13
sector 24,4.78,17627.9,2550.1,28.49,77.1,20
sector 25,8.66,30650.0,3395.85,28.48,77.09,37
sector 26,11.81,31881.85,4026.1,28.48,77.1,40
sector 27,6.12,28889.5,2196.0,28.47,77.09,2
sector 28,4.62,18738.9,2239.0,28.47,77.09,39
sector 3,0.97,8133.67,1182.33,28.49,77.02,24
sector 30,1.57,11255.2,1339.6,28.46,77.06,5
sector 31,3.53,22197.3,1572.3,28.45,77.05,10
sector 33,2.75,12165.52,1887.53,28.44,77.02,67
sector 36,1.05,9429.18,977.05,28.42,76.99,22
sector 37,0.97,6033.33,1486.02,28.44,77.0,52
sector 37d,1.27,8126.81,1546.97,28.45,76.97,63
sector 38,3.89,22355.6,2056.3,28.43,77.04,10
sector 39,3.62,13861.18,2635.55,28.44,77.05,11
sector 4,1.17,9137.38,1027.53,28.47,77.01,45
sector 40,3.15,19005.2,1366.8,28.45,77.06,5
sector 41,6.14,24010.73,2971.82,28.46,77.06,11
sector 43,5.86,21125.59,2470.22,28.46,77.08,58
sector 45,8.5,25525.5,2897.5,28.45,77.07,8
sector 46,3.8,19909.09,1516.91,28.44,77.06,11
sector 47,2.95,14606.44,1956.62,28.43,77.05,16
sector 48,6.08,18247.0,3162.2,28.42,77.04,55
sector 49,3.07,13809.6,2142.16,28.41,77.05,45
sector 5,1.07,7554.76,1199.29,28.48,77.02,21
sector 50,6.74,22964.82,3097.56,28.42,77.06,61
sector 51,1.56,7031.71,1674.14,28.43,77.07,7
sector 52,2.71,11035.93,2411.29,28.44,77.08,14
sector 53,5.78,20506.79,2687.71,28.44,77.09,14
sector 54,5.33,19323.73,2338.92,28.43,77.11,26
sector 55,3.11,20680.5,1586.2,28.43,77.11,10
sector 56,2.07,10929.7,1890.83,28.42,77.1,53
sector 57,4.67,19685.22,2339.22,28.42,77.08,23
sector 58,3.3,17147.86,1959.14,28.42,77.11,7
sector 59,4.88,17476.0,2799.0,28.41,77.11,8
sector 6,0.69,8099.18,675.64,28.47,77.03,11
sector 60,3.99,15328.47,2413.87,28.4,77.1,15
sector 61,2.09,14622.61,1490.15,28.4,77.1,41
sector 62,5.66,17383.56,2865.19,28.41,77.09,16
sector 63,4.66,16931.21,2793.0,28.4,77.09,14
sector 63a,2.75,16440.93,1613.47,28.39,77.09,15
sector 65,3.31,15972.07,2063.59,28.4,77.07,87
sector 66,5.64,19693.22,2648.13,28.39,77.05,41
sector 67,3.12,13337.72,2042.34,28.39,77.06,47
sector 67a,1.42,10049.86,1364.43,28.4,77.04,21
sector 68,1.25,8914.7,1340.07,28.39,77.05,30
sector 69,1.57,9225.3,1579.73,28.4,77.03,93
sector 7,1.74,11287.6,1275.46,28.46,77.01,35
sector 70,1.63,8740.8,1732.0,28.4,77.02,49
sector 70a,2.2,10599.33,1951.19,28.4,77.02,54
sector 71,0.95,7717.11,1223.48,28.41,77.03,27
sector 72,4.16,12788.66,3101.93,28.42,77.02,29
sector 73,6.3,16116.67,4022.0,28.41,77.01,3
sector 74,1.77,11790.83,1490.0,28.42,77.01,18
sector 76,1.68,9250.27,1793.73,28.39,76.99,15
sector 77,1.33,7731.3,1553.22,28.38,76.98,27
sector 78,1.19,6397.44,1701.0,28.37,76.97,16
sector 79,1.38,8507.42,1516.29,28.36,76.98,76
sector 8,0.75,8570.0,641.43,28.37,76.9,7
sector 80,1.27,7498.2,1632.8,28.37,76.96,5
sector 81,1.92,9317.63,1846.72,28.39,76.95,87
sector 82,2.1,9241.95,1955.98,28.39,76.96,41
sector 82a,2.3,10120.89,2359.42,28.39,76.97,19
sector 83,1.26,7637.47,1536.24,28.4,76.96,68
sector 84,0.97,6375.1,1425.86,28.4,76.97,49
sector 85,1.5,7934.37,1820.81,28.4,76.95,108
sector 86,1.2,7600.87,1513.97,28.4,76.94,62
sector 88,0.98,7441.0,1333.33,28.42,76.96,3
sector 88a,1.33,8955.09,1394.14,28.43,76.96,22
sector 89,1.1,8563.53,1334.28,28.43,76.94,57
sector 9,1.47,8986.09,1550.0,28.46,77.0,22
sector 90,1.2,6383.62,1738.07,28.41,76.94,89
sector 91,1.65,7586.12,2028.65,28.4,76.92,17
sector 92,0.93,5928.29,1571.34,28.41,76.92,100
sector 93,0.85,8009.89,1017.0,28.42,76.93,9
sector 95,0.48,5602.51,995.98,28.42,76.91,55
sector 99,1.01,6412.17,1364.21,28.46,76.96,42
